job_title,job_date,comp_name,comp_type,comp_size,eco_activity,region,city,benefits,contract,positions,exper,gender,Salary,is_tech_job
Dentist,2022-10-25,عيادة رامي محمد سعيد ابراهيم حسنين لطب الاسنان,1,SB,Healthcare and Pharmaceuticals ,Makkah,GHITHAH,1,1,1,0,1,5000.0,0
Switchboard Operator,2022-10-25,مكتب خيارك الوحيد للخدمات العامة,1,SA,Tertiary and Services,Al Baha,AL AQIQ,0,1,2,0,2,4000.0,0
Manager,2022-10-25,مكتب محمد الخليوي محامون ومستشارون قانونيون,1,SB,Consulting and Profissonal Services,Riyadh,AR RIYADH,0,1,1,0,2,8000.0,0
Analyst,2022-10-25,الجمعية الخيرية لرعاية الايتام بمكة المكرمة,1,SB,Charity,Makkah,MAKKAH AL MUKARRAMAH,1,1,1,0,2,6000.0,0
Administrative Assistant,2022-10-25,مصنع شركة صابر لإنتاج الزجاج,1,SB,Industrial Manufacturing,Eastern,AD DAMMAM,0,1,4,0,1,4600.0,0
HR Specialist,2022-10-27,شركة ال جي شاكر المحدوده,1,MC,Industrial Manufacturing,Riyadh,ABA ASLAB,0,1,1,4,2,27000.0,0
Salesperson,2022-10-27,مؤسسة محمود عبد الخالق سعيد قاسم التجارية,1,SB,Trade and Retail,Makkah,JEDDAH,1,1,1,2,0,4000.0,0
Accountant,2022-10-27,شركه عبداللطيف احمد العرفج وشريكه بيع مواد غذائية,1,MB,Trade and Retail,Riyadh,AR RIYADH,0,1,4,2,0,6000.0,0
Salesperson,2022-10-27,شركة المشرق الذهبي المحدودة (شركة شخص واحد),1,SB,Trade and Retail,Madinah,AL MADINAH AL MUNAWARAH,0,1,1,0,0,4000.0,0
Salesperson,2022-10-27,فرع متجر راحتي التجارية,1,MB,Trade and Retail,Hail,HAIL,0,1,3,0,0,4000.0,0
Manager,2022-10-27,مؤسسة فاطمه سعيد صالح خلف للقرطاسية,1,SB,Trade and Retail,Makkah,JEDDAH,0,1,1,0,2,4000.0,0
Salesperson,2022-10-27,فرع شركة متجر راحتي التجارية,1,MB,Trade and Retail,Qassim,BURAYDAH,0,1,7,0,0,4000.0,0
Technician,2022-10-27,مجمع العرجان الطبي,1,MA,Tertiary and Services,Tabuk,TABUK,0,1,2,0,2,5000.0,0
Technician,2022-10-27,مجمع الخريف الطبي,1,SB,Healthcare and Pharmaceuticals ,Riyadh,AR RIYADH,0,1,2,0,2,5000.0,0
Accountant,2022-10-27,مؤسسة متحف الغذاء للتجارة,1,SB,Construction and Real Estate,Madinah,AL MADINAH AL MUNAWARAH,0,1,2,0,2,4000.0,0
Switchboard Operator,2022-10-27,الشركه السعوديه لصناعة المكيفات المحدوده,1,L,Industrial Manufacturing,Makkah,JEDDAH,1,1,15,0,0,4083.0,0
Engineer,2022-10-27,شركة مجموعة الفؤاد للتجارة والمقاولات المحدودة,1,L,Construction and Real Estate,Makkah,MAKKAH AL MUKARRAMAH,0,1,2,0,0,7000.0,0
Analyst,2022-10-27,شركة انكر اليابان,1,SB,Tertiary and Services,Riyadh,AR RIYADH,0,1,2,2,2,4500.0,0
Technician,2022-10-27,مؤسسة الكيان للمياه والمشروبات الغازية,1,SB,Trade and Retail,Madinah,AL JURF,0,0,1,0,1,4000.0,0
Manager,2022-10-27,محل لحظة لقى لتقديم المشروبات,1,SA,Trade and Retail,Riyadh,AR RIYADH,0,1,1,0,2,6500.0,0
Developer,2022-10-27,الشركه السعوديه لصناعة المكيفات المحدوده,1,L,Industrial Manufacturing,Makkah,JEDDAH,1,1,5,2,0,7500.0,1
Analyst,2022-10-28,مجمع بلسم علاج الطبي العام,1,SB,Healthcare and Pharmaceuticals ,Makkah,AL KHURMA,1,1,2,4,2,6000.0,0
Accountant,2022-10-28,ديوانية مركاز الشيوخ,1,SB,Healthcare and Pharmaceuticals ,Makkah,AL QUNFIDAH,0,1,5,4,1,4000.0,0
Salesperson,2022-10-28,محل تاج الطفولة لالعاب الأطفال,1,SB,Trade and Retail,Makkah,AL QAWZ,0,1,5,4,1,4000.0,0
